position,prescribed,givendose,meandose,stddose
5,4,4.09,4.08,0.14
5,4,3.91,4.08,0.14
5,4,4.25,4.08,0.14
5,8,8.05,8.07,0.08
5,8,8.17,8.07,0.08
5,8,7.98,8.07,0.08
1,4,3.84,4.05,0.15
1,4,4.12,4.05,0.15
1,4,4.20,4.05,0.15
1,8,8.20,8.02,0.16
1,8,7.82,8.02,0.16
1,8,8.04,8.02,0.16
