irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
03JUN2022,A549,xray,1,4,15,2,0
03JUN2022,A549,xray,1,4,15,2,0
03JUN2022,A549,xray,1,4,15,1,0
03JUN2022,A549,xray,1,4,15,3,1
03JUN2022,A549,xray,1,4,15,2,0
03JUN2022,A549,xray,1,4,15,2,0
03JUN2022,A549,xray,1,4,1,0,0
03JUN2022,A549,xray,1,4,1,0,3
03JUN2022,A549,xray,1,4,1,0,0
03JUN2022,A549,xray,1,4,1,0,0
03JUN2022,A549,xray,1,4,1,1,0
03JUN2022,A549,xray,1,4,19,1,0
03JUN2022,A549,xray,1,4,18,1,0
03JUN2022,A549,xray,1,4,18,4,0
03JUN2022,A549,xray,1,4,26,1,0
03JUN2022,A549,xray,1,4,26,0,2
03JUN2022,A549,xray,1,4,26,0,4
03JUN2022,A549,xray,1,4,13,1,1
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,13,2,0
03JUN2022,A549,xray,1,4,13,2,2
03JUN2022,A549,xray,1,4,13,1,0
03JUN2022,A549,xray,1,4,12,2,0
03JUN2022,A549,xray,1,4,12,1,0
03JUN2022,A549,xray,1,4,12,1,1
03JUN2022,A549,xray,1,4,12,1,0
03JUN2022,A549,xray,1,4,12,1,1
03JUN2022,A549,xray,1,4,12,2,0
03JUN2022,A549,xray,1,0,17,0,4
03JUN2022,A549,xray,1,0,17,0,0
03JUN2022,A549,xray,1,0,17,1,0
03JUN2022,A549,xray,1,0,17,2,0
03JUN2022,A549,xray,1,0,17,2,0
03JUN2022,A549,xray,1,0,17,1,1
03JUN2022,A549,xray,1,0,17,1,2
03JUN2022,A549,xray,1,0,16,1,0
03JUN2022,A549,xray,1,0,16,1,0
03JUN2022,A549,xray,1,0,16,0,0
03JUN2022,A549,xray,1,0,16,0,0
03JUN2022,A549,xray,1,0,16,0,0
03JUN2022,A549,xray,1,0,16,0,0
03JUN2022,A549,xray,1,0,29,1,0
03JUN2022,A549,xray,1,0,29,2,0
03JUN2022,A549,xray,1,0,29,2,0
03JUN2022,A549,xray,1,0,29,2,0
03JUN2022,A549,xray,1,0,29,0,0
03JUN2022,A549,xray,1,0,29,2,0
